Date,Open,High,Low,Close,Adj Close,Volume
2023-06-12,1.840000,2.049000,1.825000,1.900000,1.900000,143670200
2023-06-19,1.870000,1.935000,1.620000,1.700000,1.700000,124837000
2023-06-26,1.690000,1.920000,1.545000,1.860000,1.860000,86736800
2023-07-03,1.890000,1.915000,1.670000,1.770000,1.770000,45509400
2023-07-10,1.760000,2.300000,1.750000,2.040000,2.040000,169802000
2023-07-17,2.050000,2.545000,2.025000,2.380000,2.380000,123159400
2023-07-24,2.400000,2.540000,2.230000,2.440000,2.440000,92250800
2023-07-31,2.450000,2.520000,1.940000,2.040000,2.040000,105803400
2023-08-07,2.160000,2.180000,1.700000,1.870000,1.870000,126664700
2023-08-14,1.850000,1.860000,1.550000,1.620000,1.620000,103052800
2023-08-21,1.640000,1.840000,1.600000,1.680000,1.680000,70005000
2023-08-28,1.770000,2.465000,1.720000,2.250000,2.250000,166943100
2023-09-04,2.225000,2.260000,2.030000,2.080000,2.080000,78929600
2023-09-11,2.090000,2.170000,1.900000,1.930000,1.930000,89264600
2023-09-18,1.920000,1.920000,1.740000,1.770000,1.770000,84714700
2023-09-25,1.770000,2.070000,1.700000,1.810000,1.810000,106402800
2023-10-02,1.800000,1.817000,1.550000,1.720000,1.720000,98689900
2023-10-09,1.670000,1.845000,1.580000,1.660000,1.660000,75349100
2023-10-16,1.620000,1.770000,1.510000,1.570000,1.570000,82830100
2023-10-23,1.540000,1.620000,1.350000,1.350000,1.350000,75863900
2023-10-30,1.370000,1.700000,1.300000,1.640000,1.640000,99122900
2023-11-06,1.660000,1.670000,1.250000,1.280000,1.280000,122453900
2023-11-13,1.350000,1.590000,1.222000,1.520000,1.520000,111247600
2023-11-20,1.510000,1.580000,1.360000,1.460000,1.460000,43817400
2023-11-27,1.440000,1.550000,1.280000,1.430000,1.430000,106869500
2023-12-04,1.380000,1.440000,1.280000,1.360000,1.360000,96250700
2023-12-11,1.350000,1.730000,1.280000,1.610000,1.610000,136766500
2023-12-18,1.610000,1.880000,1.550000,1.750000,1.750000,113469300
2023-12-25,1.760000,1.850000,1.650000,1.690000,1.690000,61948800
2024-01-01,1.660000,1.720000,1.490000,1.530000,1.530000,85841700
2024-01-08,1.530000,1.590000,1.300000,1.300000,1.300000,120216100
2024-01-15,1.310000,1.310000,1.120000,1.210000,1.210000,110476300
2024-01-22,1.220000,1.350000,1.210000,1.290000,1.290000,92349200
2024-01-29,1.300000,1.370000,1.170000,1.270000,1.270000,110993700
2024-02-05,1.250000,1.420000,1.200000,1.410000,1.410000,89547300
2024-02-12,1.400000,1.590000,1.340000,1.470000,1.470000,126435400
2024-02-19,1.430000,1.480000,1.290000,1.320000,1.320000,63380100
2024-02-26,1.320000,1.610000,1.220000,1.290000,1.290000,159908600
2024-03-04,1.320000,1.320000,1.130000,1.220000,1.220000,139837700
2024-03-11,1.210000,1.260000,1.050000,1.080000,1.080000,138508800
2024-03-18,1.070000,1.190000,1.030000,1.070000,1.070000,79036300
2024-03-25,1.070000,1.200000,1.060000,1.160000,1.160000,65278900
2024-04-01,1.180000,1.190000,1.030000,1.080000,1.080000,93334900
2024-04-08,1.070000,1.190000,0.993000,1.010000,1.010000,115658700
2024-04-15,1.030000,1.030000,0.850000,0.865000,0.865000,196029100
2024-04-22,0.851000,0.933000,0.740000,0.860000,0.860000,297150700
2024-04-29,0.860000,1.130000,0.791000,0.861000,0.861000,277622100
2024-05-03,0.909000,1.000000,0.889900,0.955000,0.955000,54424095
